,source,target,coef_mean,coef_abs,p,-logp
43413,PITX3,PAPSS2,0.0011891667,0.0011891667,4.088023725960834e-09,8.388486592319536
43414,SP8,PAPSS2,-0.0013359399,0.0013359399,1.5830527016861583e-08,7.800504626722928
43416,KLF16,PAPSS2,0.0010949648,0.0010949648,5.326733992891526e-06,5.273538990525828
43417,KLF6,PAPSS2,0.0015341606,0.0015341606,0.0004726867924977101,3.3254265322972523
43418,LHX1,PAPSS2,0.0018416328,0.0018416328,6.488149189337557e-11,10.18787917245887
43419,E2F7,PAPSS2,0.006266579,0.006266579,3.883196174172334e-07,6.41081066889035
43422,ELK4,PAPSS2,-0.0019898436,0.0019898436,1.554345349132839e-07,6.808452481957482
43425,KLF4,PAPSS2,0.0027055328,0.0027055328,1.9829024722844867e-08,7.702698645749454
43427,WT1,PAPSS2,0.0009641425,0.0009641425,0.000135838203107126,3.866978071989855
43428,ERG,PAPSS2,0.0022310654,0.0022310654,4.5887988096989585e-07,6.338300983001129
43430,FOSL2,PAPSS2,0.0046332427,0.0046332427,8.001111982476693e-09,8.096849651221337
43431,JUNB,PAPSS2,-0.003694927,0.003694927,1.7706603625482133e-08,7.751864734584512
43432,FOSB,PAPSS2,0.0031631577,0.0031631577,2.7921327484605895e-07,6.5540639375698655
43433,KLF11,PAPSS2,-0.0014100035,0.0014100035,3.6815316819524676e-08,7.433971457787326
43435,RREB1,PAPSS2,0.0034697708,0.0034697708,0.00011545332368693138,3.937593560034666
43436,NEUROD1,PAPSS2,0.0017275162,0.0017275162,1.1932942142770315e-11,10.923252465060783
43437,FLI1,PAPSS2,0.005870324,0.005870324,1.8904617754977176e-10,9.723432099501258
43438,RFX4,PAPSS2,0.013434146,0.013434146,1.4100492226848778e-13,12.850765726516748
43440,NRF1,PAPSS2,0.002215159,0.002215159,1.0547343089324856e-05,4.976856926808585
43442,ESR1,PAPSS2,0.0043975567,0.0043975567,2.0717578384784108e-10,9.683661009331622
43443,NEUROG2,PAPSS2,-0.002445753,0.002445753,3.0134859999458907e-10,9.52093082183681
43444,SP2,PAPSS2,0.0015825133,0.0015825133,2.2489302586105617e-08,7.648024012225649
43445,PRRX1,PARPBP,0.009266206,0.009266206,1.2924379258945577e-14,13.888590306329835
43448,RFX6,PARPBP,0.0013404072,0.0013404072,1.0871069549546805e-12,11.96372772577427
43450,FOXA2,PARPBP,-0.0014635632,0.0014635632,1.4444555802777003e-05,4.840295808985516
43452,MLX,PARPBP,-0.0008040382,0.0008040382,4.972912077167242e-06,5.303389219178926
43453,FOSL1,PARPBP,0.0009137932,0.0009137932,0.00038328140974987055,3.416482244765587
43454,HNF4A,PARPBP,0.00145008,0.00145008,0.0001305334749996774,3.8842781002539493
43455,GATA3,PARPBP,-0.0009768691,0.0009768691,0.0004056586078318146,3.3918393041205044
43458,LMX1A,PARPBP,-0.011115156,0.011115156,5.698021848671268e-14,13.244275889821152
