,source,target,coef_mean,coef_abs,p,-logp
48720,E2F7,PRSS12,-0.03674932,0.03674932,1.9163370569161254e-06,5.717528102206987
48721,AR,PRSS12,-0.15746397,0.15746397,1.4017869838945299e-09,8.853317976917053
48722,MEF2C,PRSS12,-0.2244495,0.2244495,9.760137830727885e-12,11.010544049269589
48724,TBX15,PRSS12,-0.12339614,0.12339614,5.499612191015001e-06,5.259667934003996
48726,TFAP2B,PRSS12,0.13948712,0.13948712,6.741465670228687e-12,11.17124567270905
48727,YY1,PRSS12,0.067028455,0.067028455,0.0006350347147580956,3.1972025329508735
48728,ERG,PRSS12,0.018108318,0.018108318,0.00027494541020754975,3.5607535258026943
48731,FOSL2,PRSS12,-0.03959514,0.03959514,0.0002068048245404111,3.68443933382356
48732,HES5,PRSS12,-0.10741002,0.10741002,6.585672233869686e-05,4.181399887739502
48733,PAX2,PRSS12,0.08699429,0.08699429,3.0184127426270827e-05,4.520221374371816
48734,ONECUT2,PRSS12,0.22548254,0.22548254,4.3095380465011654e-07,6.365569280792359
48735,JUNB,PRSS12,0.09715446,0.09715446,0.00023306557620558416,3.6325218670541513
48736,SP9,PRSS12,0.056397125,0.056397125,0.0008561096342878954,3.0674706155595186
48737,RREB1,PRSS12,0.108666286,0.108666286,4.747250371151956e-06,5.323557862879845
48738,BCL11B,PRSS12,0.29682678,0.29682678,2.214399834430447e-06,5.654743959695313
48739,MEOX2,PRSS12,-0.022267366,0.022267366,1.2649092487149407e-07,6.897940631955462
48742,ONECUT1,PRSS12,-0.1188371,0.1188371,5.858871935762579e-07,6.232185994772734
48743,HNF4G,PRSS12,0.09155167,0.09155167,1.844571943766851e-05,4.73410440133627
48744,PAX7,PRSS12,-0.07569604,0.07569604,2.8666133303399094e-05,4.542630883902102
48748,ELF3,PRSS12,0.08610938,0.08610938,5.027877432151837e-06,5.298615317936941
48750,HOXB9,PRSS23,-0.021752637,0.021752637,2.1487575323013424e-10,9.66781258791691
48752,FOSL1,PRSS23,-0.00296295,0.00296295,0.0007398299813998147,3.130868073003506
48754,THRB,PRSS23,-0.030146888,0.030146888,1.372670523387609e-10,9.862433692221328
48755,TWIST1,PRSS23,0.007590509,0.007590509,1.9167833016192402e-07,6.717426982703872
48757,SP3,PRSS23,-0.006366206,0.006366206,2.126546858916721e-06,5.672325043072345
48758,IRF1,PRSS23,0.0073905797,0.0073905797,3.846386021108951e-09,8.414947132363592
48759,E2F7,PRSS23,-0.0040697916,0.0040697916,3.5217999000303744e-05,4.453235323207293
48760,AR,PRSS23,-0.013148506,0.013148506,3.298145944971907e-08,7.481730130470284
48762,SP4,PRSS23,-0.006715807,0.006715807,5.320937590094863e-06,5.274011834936651
48763,SOX14,PRSS23,0.022136403,0.022136403,1.6964172606777527e-06,5.770467317337673
48765,SOX9,PRSS23,0.010805958,0.010805958,9.405273375921817e-05,4.026628576623027
48766,FOSL2,PRSS23,0.010205933,0.010205933,1.218466382421801e-07,6.914186448531051
48767,JUNB,PRSS23,-0.011069672,0.011069672,2.5455616701365138e-05,4.594216377049132
48769,SOX4,PRSS23,0.042880826,0.042880826,6.658503407946864e-11,10.176623373638838
48772,TFAP2D,PRSS23,0.0073442683,0.0073442683,0.00014243302264222712,3.8463893092339436
48773,RFX6,PRSS23,0.0032555202,0.0032555202,9.207079245353439e-07,6.035878118858768
48774,FOS,PRSS23,-0.015312452,0.015312452,6.974814562833168e-06,5.156467334349541
48775,FOXA2,PRSS23,-0.010765479,0.010765479,3.5191332570564676e-07,6.453564287666494
48777,RUNX1,PRSS23,-0.00634772,0.00634772,0.0006071305491838866,3.216717914041572
48780,KLF6,PRSS23,0.020466594,0.020466594,2.0573818130895442e-05,4.686685103574885
48781,SOX10,PRSS23,0.0010732815,0.0010732815,0.00012106432184983288,3.9169838263591092
48782,ELK4,PRSS23,0.011129274,0.011129274,1.872228364991356e-13,12.727641179312249
