logFC	logCPM	LR	PValue	FDR
Serpinb9b	2.3218295482655	1.45515560733065	20.1930163359342	7.00080526791033e-06	0.00120464898146469
Csf1r	0.8179415124017	6.67312709155904	20.1491753752787	7.16311224544627e-06	0.0012198706307477
Tbxas1	1.0999784393682	4.70356043888136	20.0977351754519	7.3583761160978e-06	0.00124033688838591
Cyp46a1	-0.743585234480354	6.77287644897459	20.0412636443241	7.57889760018907e-06	0.00126460413593458
Arap3	1.26093036838813	3.78801361348366	20.0035417281652	7.7298859168824e-06	0.0012768998546098
Adcy7	0.924658186952188	4.78911574430655	19.9559738193703	7.92459718172481e-06	0.0012961031766823
Nnat	1.58038815089746	7.13894879632947	19.9118111265808	8.10977526288161e-06	0.00131338605458374
C5ar1	1.4982726049994	4.37824302679125	19.8148733848869	8.53162127444262e-06	0.00136314122670635
Gusb	0.845233936307405	6.38673432119862	19.8036112390429	8.58203811232282e-06	0.00136314122670635
Gm42429	1.55431123030368	2.50034775500901	19.7430499508942	8.858324488799e-06	0.00139362535457591
Laptm5	0.853003501851375	7.53137781512172	19.6769448690219	9.17010717917901e-06	0.00142906604238545
Pawr	-0.637969755791059	6.30262240161767	19.6524116925742	9.28860021146319e-06	0.00142937232428165
Fcgr3	1.13765367843654	4.93845585548967	19.6408179762797	9.34513051773222e-06	0.00142937232428165
Grm3	-0.95557391409445	4.00175622543909	19.6143149870953	9.47565840684542e-06	0.00143604037818972
Pld4	1.07747980425007	5.20465038104699	19.5617496889106	9.73998477459511e-06	0.00146268007719579
Gm14548	1.95110286115108	2.25637977825502	19.472463811048	1.0206042038594e-05	0.00151886133725707
Rab7b	0.825035617904334	5.72414408401419	19.3679397977219	1.0780172962248e-05	0.00158997926038727
Gm39469	-1.92564412168477	2.91973477117818	19.3302811595898	1.09948795396168e-05	0.00159678054448153
Lcn2	-0.957748149094829	5.22314952155685	19.3259905826976	1.10196126927111e-05	0.00159678054448153
Entpd2	-1.1972778860823	4.66750139294162	19.2049407682305	1.17409118509585e-05	0.00168650541622594
Coro2a	1.63545890403423	1.4376037401447	19.1556393616135	1.20481017665491e-05	0.00171085934356155
Ccdc39	1.05251489534812	5.06543326233006	19.1446615185674	1.2117594478885e-05	0.00171085934356155
Ptafr	1.3536520231371	3.09156069101657	19.1279520751242	1.2224143182624e-05	0.0017112764511336
Clec12a	1.38011089451619	4.22974068000595	19.1009500439622	1.23983154259618e-05	0.00172107371866776
Gm15922	2.10113161537363	1.68094559788825	19.0097151676146	1.30054594219804e-05	0.00179030986826412
Sema3e	-1.05439698999238	5.16078937882791	18.7884032072681	1.46052500848055e-05	0.00199391839794134
Stab1	1.05114873531432	5.24550598731189	18.6892831912041	1.53844726316164e-05	0.00208308281476779
Ptk2b	0.664463050771301	5.42145687797278	18.6488299504902	1.57143680872912e-05	0.00211045241003222
Pik3ap1	1.02919188247409	5.4757592556083	18.6306666589129	1.58647918153205e-05	0.00211347174191354
Tgfb1	0.703090448227251	5.49371307922486	18.6141097018179	1.60031720530514e-05	0.00211485119315485
Sorcs2	-0.908947319534736	6.47958518973826	18.5545996069369	1.65106340363073e-05	0.00216459653687111
Lyz2	0.987009148944204	9.9648232977786	18.5093999764955	1.6906840451245e-05	0.00218752969814195
Coro1a	1.15302507095193	4.22056925144827	18.5044947406111	1.69504087028373e-05	0.00218752969814195
Deup1	1.60617722449425	3.09007590755912	18.4782547880689	1.71853941562243e-05	0.00220066299276487
Gm20634	1.57546289858581	4.03658911282768	18.413220519291	1.77819960828604e-05	0.00225954456379054
Lair1	1.49363094966774	3.74435103745777	18.394114152173	1.79611937110099e-05	0.00226489281612346
Dynlrb2	1.31072062035324	3.93490622149623	18.373621190479	1.81554129875308e-05	0.0022720399025835
